Date,Time,Menu Item,Category,Quantity,Price (per item),Revenue,Payment Method,Customer Type
23/11/2023,03:48 AM,Margherita Pizza,Main Course,6,10,60,Credit Card,Dine-In
12/03/2023,03:29 AM,Caprese Salad,Appetizer,3,8,24,Mobile Payment,Takeaway
17/01/2023,01:01 AM,Tiramisu,Dessert,6,6.5,39,Credit Card,Delivery
04/11/2023,12:54 AM,Caprese Salad,Appetizer,6,8,48,Mobile Payment,Delivery
25/12/2023,06:36 PM,Caprese Salad,Dessert,10,4.5,45,Cash,Delivery
22/05/2023,12:13 AM,Spaghetti Carbonara,Main Course,7,12,84,Cash,Takeaway
20/03/2023,07:20 AM,Fettuccine Alfredo,Main Course,2,13,26,Credit Card,Takeaway
19/02/2023,12:15 PM,Fettuccine Alfredo,Main Course,2,13,26,Cash,Dine-In
23/08/2023,06:18 PM,Tiramisu,Dessert,1,6.5,6.5,Credit Card,Delivery
30/05/2023,09:27 PM,Panna Cotta,Dessert,9,5.5,49.5,Mobile Payment,Dine-In
26/12/2023,02:22 AM,Margherita Pizza,Main Course,1,10,10,Cash,Dine-In
29/04/2023,03:26 AM,Gelato,Dessert,9,4.5,40.5,Cash,Delivery
05/07/2023,05:33 AM,Fettuccine Alfredo,Main Course,2,13,26,Credit Card,Delivery
16/05/2023,11:57 PM,Tiramisu,Dessert,3,6.5,19.5,Mobile Payment,Dine-In
30/09/2023,08:21 AM,Spaghetti Carbonara,Main Course,3,12,36,Cash,Takeaway
23/11/2023,11:29 PM,Caprese Salad,Appetizer,10,8,80,Mobile Payment,Takeaway
29/01/2023,07:49 AM,Margherita Pizza,Main Course,10,10,100,Cash,Takeaway
03/02/2023,07:12 AM,Panna Cotta,Dessert,5,5.5,27.5,Credit Card,Delivery
12/09/2023,01:30 PM,Minestrone Soup,Appetizer,3,7,21,Cash,Dine-In
06/05/2023,07:09 PM,Caprese Salad,Appetizer,7,8,56,Mobile Payment,Delivery
07/08/2023,07:55 PM,Gelato,Dessert,1,4.5,4.5,Credit Card,Dine-In
17/09/2023,04:50 PM,Tiramisu,Dessert,5,6.5,32.5,Credit Card,Dine-In
17/11/2023,05:27 AM,Gelato,Dessert,10,4.5,45,Credit Card,Takeaway
14/07/2023,08:20 PM,Minestrone Soup,Appetizer,7,7,49,Cash,Delivery
06/01/2023,11:13 PM,Tiramisu,Dessert,10,6.5,65,Cash,Delivery
23/06/2023,03:48 AM,Lasagna,Main Course,6,11.5,69,Credit Card,Takeaway
02/01/2023,08:59 AM,Caprese Salad,Appetizer,10,8,80,Mobile Payment,Dine-In
16/11/2023,10:11 AM,Caprese Salad,Appetizer,9,8,72,Credit Card,Dine-In
10/07/2023,05:30 AM,Caprese Salad,Appetizer,2,8,16,Credit Card,Delivery
14/06/2023,04:40 PM,Margherita Pizza,Main Course,4,10,40,Cash,Takeaway
02/05/2023,01:58 AM,Bruschetta,Appetizer,5,5,25,Credit Card,Dine-In
05/09/2023,02:21 AM,Caprese Salad,Appetizer,7,8,56,Credit Card,Delivery
31/08/2023,06:45 PM,Spaghetti Carbonara,Main Course,1,12,12,Mobile Payment,Delivery
04/08/2023,07:13 AM,Caprese Salad,Appetizer,5,8,40,Mobile Payment,Takeaway
23/07/2023,10:55 PM,Fettuccine Alfredo,Main Course,10,13,130,Mobile Payment,Takeaway
02/03/2023,08:27 AM,Bruschetta,Appetizer,2,5,10,Cash,Dine-In
28/10/2023,06:54 PM,Bruschetta,Appetizer,4,5,20,Credit Card,Dine-In
06/02/2023,09:32 PM,Margherita Pizza,Main Course,6,10,60,Credit Card,Dine-In
18/06/2023,02:25 AM,Caprese Salad,Appetizer,1,8,8,Cash,Delivery
05/09/2023,07:18 AM,Caprese Salad,Appetizer,6,8,48,Mobile Payment,Delivery
22/10/2023,04:08 PM,Bruschetta,Appetizer,9,5,45,Cash,Dine-In
18/02/2023,03:18 AM,Gelato,Dessert,3,4.5,13.5,Cash,Takeaway
27/08/2023,01:50 AM,Tiramisu,Dessert,8,6.5,52,Cash,Delivery
22/06/2023,03:43 AM,Bruschetta,Appetizer,4,5,20,Credit Card,Delivery
